路線番号,起点,終点,通過都道府県,通過数,要確認,要確認理由
1,東京都中央区,大阪府大阪市北区,東京都→神奈川県→静岡県→愛知県→三重県→滋賀県→京都府→大阪府,8,,
2,大阪府大阪市北区,福岡県北九州市門司区,大阪府→兵庫県→岡山県→広島県→山口県→福岡県,6,,
3,福岡県北九州市門司区,鹿児島県鹿児島市,福岡県→佐賀県→熊本県→鹿児島県,4,TRUE,"通過都道府県に重複あり（原文どおり記載後、一意化）: ['福岡県', '佐賀県', '福岡県', '熊本県', '鹿児島県']"
4,東京都中央区,青森県青森市,東京都→埼玉県→茨城県→栃木県→福島県→宮城県→岩手県→青森県,8,,
5,北海道函館市,北海道札幌市中央区,北海道,1,,
6,東京都中央区,宮城県仙台市宮城野区,東京都→千葉県→茨城県→福島県→宮城県,5,,
7,新潟県新潟市中央区,青森県青森市,新潟県→山形県→秋田県→青森県,4,,
8,新潟県新潟市中央区,京都府京都市下京区,新潟県→富山県→石川県→福井県→滋賀県→京都府,6,TRUE,主資料「終点」欄の都道府県名の入力ミスと判断し補正: 新潟県 -> 京都府（終点の市区町村名・備考欄・Wikipediaの記載で裏付け。ユーザー承認済み）
9,京都府京都市下京区,山口県下関市,京都府→兵庫県→鳥取県→島根県→山口県,5,,
10,福岡県北九州市門司区,鹿児島県鹿児島市,福岡県→大分県→宮崎県→鹿児島県,4,,
11,徳島県徳島市,愛媛県松山市,徳島県→香川県→愛媛県,3,,
12,北海道札幌市中央区,北海道旭川市,北海道,1,,
13,福島県福島市,秋田県秋田市,福島県→山形県→秋田県,3,,
14,東京都中央区,千葉県千葉市中央区,東京都→千葉県,2,TRUE,主資料「終点」欄の都道府県名の入力ミスと判断し補正: 東京都 -> 千葉県（終点の市区町村名・備考欄・Wikipediaの記載で裏付け。ユーザー承認済み）
15,東京都中央区,神奈川県横浜市神奈川区,東京都→神奈川県,2,,
16,神奈川県横浜市西区,神奈川県横浜市西区,神奈川県→東京都→埼玉県→千葉県,4,TRUE,"通過都道府県に重複あり（原文どおり記載後、一意化）: ['神奈川県', '東京都', '埼玉県', '千葉県', '神奈川県']"
17,東京都中央区,新潟県新潟市中央区,東京都→埼玉県→群馬県→新潟県,4,,
